archetype_a,archetype_b,wins,losses,total_matches,winrate,ci_lower,ci_upper
Selesnya Deck,Azorius Deck,2,6,8,0.25,0.071479212752109,0.5907245696898311
Selesnya Deck,Bant Ramp,3,5,8,0.375,0.13684428582359742,0.6942576053973727
Selesnya Deck,Boros Deck,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Selesnya Deck,Burn,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Selesnya Deck,Dimir Control,2,3,5,0.4,0.11762077423264783,0.769275718723987
Selesnya Deck,Dimir Deck,3,5,8,0.375,0.13684428582359742,0.6942576053973727
Selesnya Deck,Golgari Deck,4,2,6,0.6666666666666666,0.299993315138392,0.9032285888942195
Selesnya Deck,Gruul Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Selesnya Deck,Izzet Deck,5,3,8,0.625,0.30574239460262737,0.8631557141764026
Selesnya Deck,Jeskai Deck,6,1,7,0.8571428571428571,0.4868721707256811,0.9743203756552565
Selesnya Deck,Jund Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Selesnya Deck,Mono Red Aggro,2,6,8,0.25,0.071479212752109,0.5907245696898311
Selesnya Deck,Naya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Selesnya Deck,Orzhov Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Selesnya Deck,Other,5,3,8,0.625,0.30574239460262737,0.8631557141764026
Selesnya Deck,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Selesnya Deck,Storm,5,3,8,0.625,0.30574239460262737,0.8631557141764026
Selesnya Deck,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Storm,Abzan Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Storm,Azorius Deck,5,8,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
Storm,Bant Ramp,3,5,8,0.375,0.13684428582359742,0.6942576053973727
Storm,Boros Deck,2,5,7,0.2857142857142857,0.08221892400405678,0.6410655481673808
Storm,Burn,3,2,5,0.6,0.2307242812760128,0.882379225767352
Storm,Dimir Control,0,5,5,0.0,0.0,0.43448246478317476
Storm,Dimir Deck,21,29,50,0.42,0.2937500335471198,0.5576655823142176
Storm,Golgari Deck,4,2,6,0.6666666666666666,0.299993315138392,0.9032285888942195
Storm,Gruul Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Storm,Izzet Deck,5,15,20,0.25,0.11186170140766569,0.468700877618744
Storm,Jeskai Deck,4,3,7,0.5714285714285714,0.2504583645276572,0.8417801447485302
Storm,Jund Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Storm,Mono Red Aggro,26,24,50,0.52,0.38511744890044614,0.6520286471342196
Storm,Naya Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Storm,Orzhov Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Storm,Other,7,7,14,0.5,0.26799202452413634,0.7320079754758637
Storm,Rakdos Deck,0,5,5,0.0,0.0,0.43448246478317476
Storm,Selesnya Deck,4,4,8,0.5,0.21521606221387757,0.7847839377861224
Storm,Sultai Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Sultai Deck,Abzan Deck,5,0,5,1.0,0.5655175352168251,1.0
Sultai Deck,Azorius Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Sultai Deck,Bant Ramp,3,2,5,0.6,0.2307242812760128,0.882379225767352
Sultai Deck,Boros Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Sultai Deck,Burn,2,3,5,0.4,0.11762077423264783,0.769275718723987
Sultai Deck,Dimir Control,3,2,5,0.6,0.2307242812760128,0.882379225767352
Sultai Deck,Dimir Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Sultai Deck,Golgari Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Sultai Deck,Gruul Deck,0,5,5,0.0,0.0,0.43448246478317476
Sultai Deck,Izzet Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Sultai Deck,Jeskai Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Sultai Deck,Jund Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Sultai Deck,Mono Red Aggro,3,2,5,0.6,0.2307242812760128,0.882379225767352
Sultai Deck,Naya Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Sultai Deck,Orzhov Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Sultai Deck,Other,2,3,5,0.4,0.11762077423264783,0.769275718723987
Sultai Deck,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Sultai Deck,Selesnya Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Sultai Deck,Storm,1,4,5,0.2,0.03622410863243014,0.6244653702374747
